# ChampSim Tracer implicit-operand assertion table — riscv64
# Expectations derived from the Sail RISC-V model; see docs/validator.rst (features.implicit_operands) for provenance and method.
# Generated by tools/implicit_audit.py --mode regenerate; the source / disposition / justification columns are written by hand and carried forward.
# probes 146  rows 593  MISS-BOTH 229  MISS-BOUNDARY 4  NOT-MODELLED 122  OK 238
family	hex	asm	kind	operand	source	expect	weight	disposition	justification
rvv_ldst_vstart_partial	87700502	vle64.v v1,(x10)	READ	<tied-dst>	SAIL	MISS-BOTH	16851270	modelling-decision	the tail/mask-undisturbed vd read is NOT encoding-decidable: it depends on vtype.vta, vtype.vma and vl versus VLMAX, all written by an earlier vsetvl, so a per-opcode template cannot decide it without carrying vtype in the template key (Sail records the same caveat)
rvv_ldst_vstart_partial	87700502	vle64.v v1,(x10)	READ	vstart	SAIL	MISS-BOTH	16851270	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_ldst_vstart_partial	87700502	vle64.v v1,(x10)	WRITE	vstart	SAIL	MISS-BOTH	16851270	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_vsetvl_rd	d772850d	vsetvli x5,x10,e64,m1,ta,ma	WRITE	vstart	SAIL+QEMU	MISS-BOTH	12635895	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_any_vector_op	d7802102	vadd.vv v1,v2,v3	READ	vstart	SAIL+QEMU	MISS-BOTH	8425635	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_any_vector_op	d7802102	vadd.vv v1,v2,v3	WRITE	vstart	SAIL+QEMU	MISS-BOTH	8425635	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_v0_uncond_merge	d780215c	vmerge.vvm v1,v2,v3,v0	READ	vstart	SAIL+QEMU	MISS-BOTH	8425635	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_v0_uncond_merge	d780215c	vmerge.vvm v1,v2,v3,v0	WRITE	vstart	SAIL+QEMU	MISS-BOTH	8425635	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_vd_tied_accumulate	57a4a4b6	vmacc.vv v8,v9,v10	READ	vstart	SAIL+QEMU	MISS-BOTH	8425635	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
rvv_vd_tied_accumulate	57a4a4b6	vmacc.vv v8,v9,v10	WRITE	vstart	SAIL+QEMU	MISS-BOTH	8425635	modelling-decision	vstart is architecturally zero except while resuming a vector instruction that trapped part-way, so making every vector op a read-modify-write of it would serialise the whole vector stream on a register that does not change value in a traced population
