# ChampSim Tracer implicit-operand assertion table — aarch64
# Expectations derived from Arm's Machine Readable Architecture (A64 ISA XML); see docs/validator.rst (features.implicit_operands) for provenance and method.
# Generated by tools/implicit_audit.py --mode regenerate; the source / disposition / justification columns are written by hand and carried forward.
# probes 169  rows 320  MISS-BOTH 61  MISS-BOUNDARY 9  MISS-STRUCTURAL 11  NOT-MODELLED 27  OK 212
family	hex	asm	kind	operand	source	expect	weight	disposition	justification
mrs_tpidr	40d03bd5	mrs x0, tpidr_el0	READ	tpidr_el0	MRA	MISS-BOTH	18685107	fix	the instruction exists to move this system register and the boundary reports it as neither operand nor implicit register, so the move reads nothing and writes nothing; Capstone renders the system-register field as text only
mops_cpyp	4004011d	cpyp [x0]!, [x1]!, x2!	READ	nzcv	MRA	MISS-BOTH	3209184	fix	FEAT_MOPS passes prologue state to the main and epilogue instructions through PSTATE.NZCV; the boundary reports the write and drops the read, so the P->M->E chain of a bulk copy loses its only register edge
bti	5f2403d5	bti c	READ	pstate.btype	MRA+QEMU	MISS-BOTH	1869143	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
bti	5f2403d5	bti c	WRITE	pstate.btype	MRA+QEMU	MISS-BOTH	1869143	modelling-decision	an execution-mode or interrupt-mask bit of PSTATE, which selects how later instructions behave rather than carrying a value between them
mops_setp	2004c219	setp [x0]!, x1!, x2	READ	nzcv	MRA	MISS-BOTH	1724716	fix	FEAT_MOPS passes prologue state to the main and epilogue instructions through PSTATE.NZCV; the boundary reports the write and drops the read, so the P->M->E chain of a bulk copy loses its only register edge
mte_irg	2010c29a	irg x0, x1, x2	READ	gcr_el1	MRA+QEMU	MISS-BOTH	163982	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
mte_irg	2010c29a	irg x0, x1, x2	READ	rgsr_el1	MRA+QEMU	MISS-BOTH	163982	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
mte_irg	2010c29a	irg x0, x1, x2	WRITE	rgsr_el1	MRA+QEMU	MISS-BOTH	163982	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
fp_fccmp	0004611e	fccmp d0, d1, #0x0, eq	READ	fpcr	MRA	MISS-BOTH	123960	fix	the boundary reports FPCR on sibling FP forms (FADD, FCMP, SCVTF, FMLA) and not on these, so Capstone's implicit-register table is inconsistent rather than deliberately silent
fp_fccmp	0004611e	fccmp d0, d1, #0x0, eq	WRITE	fpsr	MRA	MISS-BOTH	123960	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
stxr	417c00c8	stxr w0, x1, [x2]	READ	exclusive_monitor	MRA+QEMU	MISS-BOTH	42385	modelling-decision	the exclusive monitor is not a register: it is memory-system state, and a consumer models LL/SC in its memory model rather than as a register dependency
stxr	417c00c8	stxr w0, x1, [x2]	WRITE	exclusive_monitor	MRA+QEMU	MISS-BOTH	42385	modelling-decision	the exclusive monitor is not a register: it is memory-system state, and a consumer models LL/SC in its memory model rather than as a register dependency
fp_fadd	2028621e	fadd d0, d1, d2	WRITE	fpsr	MRA	MISS-BOTH	10784	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp_scvtf	0000629e	scvtf d0, x0	WRITE	fpsr	MRA	MISS-BOTH	9588	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp_fcvtzs	0000781e	fcvtzs w0, d0	WRITE	fpsr	MRA	MISS-BOTH	1636	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp_fcmp	0020611e	fcmp d0, d1	WRITE	fpsr	MRA	MISS-BOTH	1392	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp_nep_1src_fabs	20c0601e	fabs d0, d1	READ	<tied-dst>	MRA	MISS-BOTH	518	modelling-decision	under FPCR.NEP a one-source scalar FP form merges from Vd, so Vd is a source only for a runtime value of a control register the instruction word cannot decide; a per-opcode template cannot express it
fp_nep_1src_fabs	20c0601e	fabs d0, d1	READ	fpcr	MRA	MISS-BOTH	518	fix	the boundary reports FPCR on sibling FP forms (FADD, FCMP, SCVTF, FMLA) and not on these, so Capstone's implicit-register table is inconsistent rather than deliberately silent
fp_nep_1src_fabs	20c0601e	fabs d0, d1	WRITE	fpsr	MRA	MISS-BOTH	518	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
mrs_fpcr	00443bd5	mrs x0, fpcr	READ	fpcr	MRA	MISS-BOTH	472	fix	the instruction exists to move this system register and the boundary reports it as neither operand nor implicit register, so the move reads nothing and writes nothing; Capstone renders the system-register field as text only
ldxr	207c5fc8	ldxr x0, [x1]	WRITE	exclusive_monitor	MRA+QEMU	MISS-BOTH	18	modelling-decision	the exclusive monitor is not a register: it is memory-system state, and a consumer models LL/SC in its memory model rather than as a register dependency
clrex	5f3f03d5	clrex	WRITE	exclusive_monitor	MRA+QEMU	MISS-BOTH	0	modelling-decision	the exclusive monitor is not a register: it is memory-system state, and a consumer models LL/SC in its memory model rather than as a register dependency
dc_zva	20740bd5	dc zva, x0	READ	dczid_el0	MRA+QEMU	MISS-BOTH	0	modelling-decision	a configuration register the instruction consults to decide HOW to act (tag seed, block size, accelerator data) rather than a value it moves; real implicit reads, but configuration and not dataflow
eret	e0039fd6	eret	READ	elr_el1	MRA+QEMU	MISS-BOTH	0	modelling-decision	exception-level return state; the tracer models the exception return as the control transfer it is and does not carry the EL1 banked registers the restore comes from
eret	e0039fd6	eret	READ	spsr_el1	MRA+QEMU	MISS-BOTH	0	modelling-decision	exception-level return state; the tracer models the exception return as the control transfer it is and does not carry the EL1 banked registers the restore comes from
eret	e0039fd6	eret	WRITE	pstate.nzcv	MRA+QEMU	MISS-BOTH	0	modelling-decision	exception-level return state; the tracer models the exception return as the control transfer it is and does not carry the EL1 banked registers the restore comes from
eretaa	ff0b9fd6	eretaa	READ	elr_el1	MRA	MISS-BOTH	0	modelling-decision	exception-level return state; the tracer models the exception return as the control transfer it is and does not carry the EL1 banked registers the restore comes from
eretaa	ff0b9fd6	eretaa	READ	spsr_el1	MRA	MISS-BOTH	0	modelling-decision	exception-level return state; the tracer models the exception return as the control transfer it is and does not carry the EL1 banked registers the restore comes from
eretaa	ff0b9fd6	eretaa	WRITE	pstate.nzcv	MRA	MISS-BOTH	0	modelling-decision	exception-level return state; the tracer models the exception return as the control transfer it is and does not carry the EL1 banked registers the restore comes from
fp_fjcvtzs	00007e1e	fjcvtzs w0, d0	WRITE	fpsr	MRA+QEMU	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp_fmadd	200c421f	fmadd d0, d1, d2, d3	WRITE	fpsr	MRA	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp_frinta	2040661e	frinta d0, d1	WRITE	fpsr	MRA	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp_nep_2src_fsub	2038621e	fsub d0, d1, d2	WRITE	fpsr	MRA	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
ldxp	40047fc8	ldxp x0, x1, [x2]	WRITE	exclusive_monitor	MRA	MISS-BOTH	0	modelling-decision	the exclusive monitor is not a register: it is memory-system state, and a consumer models LL/SC in its memory model rather than as a register dependency
