# THE DESTINATION BAR'S ADJUDICATION TABLE.  barledger.py --bar destination
# joins the family table from `dstbar.py --tsv` to these rows and REFUSES on
# any family that matches none, on any that matches two, and on any row here
# that matches nothing.  It is the SOURCE table's construction, applied to the
# other direction of the flip.
#
# WHAT THE DESTINATION BAR MEASURES.  Registers the WIRE publishes as
# DESTINATIONS that QEMU's write side does not name.  It is scored only where
# QEMU's own write verdict is complete, so a refusal is never counted as a
# loss -- the same discipline the source bar applies to its read verdict.
#
# THE THREE DISPOSITIONS ARE barledger.py's, unchanged, and the one that
# needed saying out loud is QEMU-STATES-IT.  On this side the commonest defect
# is not "the translation contains the write and the extraction does not carry
# it out" but "QEMU ELIDES a write the architecture defines" -- a self-move
# whose two operands coincide, a NOP arm that returns before the store.  The
# disposition covers both because the remedy is the same one, and the
# definition was GENERALISED in barledger.py rather than stretched in silence
# here.
#
# columns: class_id  isa  rule_rx  mnem_rx  reg_rx  disposition  citation  note
#
# Author: Maccoy Merrell.
x86-reserved-nop-dst	x86_64	^multi0F$	^nop[lq]$	.	RULED	target/i386/tcg/decode-new.c.inc, the reserved-NOP arms -- the operand is decoded and no store is emitted for it; Intel SDM, NOP: 'the ModR/M operand is ignored'	WHOLE-POPULATION ARM: every losing register on these families is a ModRM-named GPR and the family carries no other. 4d9ec8775e ruled the operands a reserved NOP NAMES, which is why they are SOURCES; it says nothing about a result the instruction does not produce. Capstone marks the ModRM operand read/write and the WRITE half is the false one.
x86-movlp-invalid-encoding	x86_64	^(decode-new/VMOVLPx@vex=0|VMOVHPx)$	^(movhlps|movlhps)$	.	RULED	target/i386/tcg/decode-new.c.inc VMOVLPx / VMOVHPx; Intel SDM MOVLPD/MOVHPD require mod != 3; binutils 2.45.1 renders `66 0F 12 /r` mod==3 as `movlpd (bad),%xmm0`	WHOLE-POPULATION ARM, the SOURCE side's own and the same rows: 480/480 losing encodings carry the 66 prefix with mod == 3, an encoding the SDM declares INVALID. QEMU routes it to VMOVLPx and writes the r/m register; Capstone reads it as MOVHLPS and writes the reg register. The row measures a DECODER DISAGREEMENT on an architecturally invalid encoding, and no statement can close it: stating the write Capstone implies would agree with Capstone against both the SDM and QEMU.
x86-cet-rdssp	x86_64	^decode-new/NOP@f3=1,modrm=11001\.\.\.$	^rdssp[dq]$	.	RULED	target/i386/tcg/decode-new.c.inc, the RDSSP arm; Intel SDM RDSSPD/RDSSPQ: 'If shadow stacks are not enabled ... this instruction is a NOP'	WHOLE-POPULATION ARM: this model enables no shadow stack on any of the losing encodings, so the destination genuinely is not written and QEMU is right not to name it. NOT the same shape as the MPX class beside it, where the ISA defines the access regardless of whether the feature is present -- here the ISA itself makes the write conditional and the condition is false.
a64-rmif-dst	aarch64	^disas_a64/RMIF$	^rmif$	.	RULED	target/arm/tcg/translate-a64.c trans_RMIF -- the mask selects which of NF/ZF/CF/VF are written and mask == 0 writes none	WHOLE-POPULATION ARM, the source side's own --field 3:0 arm over the same family: mask == 0 on 82 of 192 encodings, and 82 is exactly the destination bar's count. A flag outside the mask is a register the instruction does not write, so the wire's claim is the false one.
a64-sys-cache-dst	aarch64	^disas_a64/SYS@1101010100\.01\.\.\.	^dc$	.	RULED	target/arm/tcg/translate-a64.c handle_sys, the DC arms -- `dc zva` and its siblings write MEMORY through a helper and no cache register	WHOLE-POPULATION ARM: every losing register on this family is REG_SYSCACHE and the family carries no other. There is no architectural cache register for these to write: the operation's effect is on memory and on cache STATE that the register space does not model. Capstone publishes it because the instruction's name says `dc`.
a64-esb-dst	aarch64	^disas_a64/ESB$	^esb$	.	RULED	target/arm/tcg/translate-a64.c trans_ESB -- a NOP on a model with no RAS error records	WHOLE-POPULATION ARM: one family, one register (REG_SYSEXC), every encoding. ESB synchronises error state; with no RAS errors implemented there is no error record to write, which is the RDSSP reading applied to the other architecture: the ISA makes the write conditional and the condition is false on this model.
rv-amocas-dst	riscv64	^decode_insn32/amocas_q$	^amocas\.q	.	RULED	target/riscv/insn_trans/trans_rvzacas.c.inc trans_amocas_q -- `if (a->rd != 0)` guards BOTH halves of the pair write, and get_gpr() takes `a->rd == 0 ? 0 : a->rd + 1` on the read side	WHOLE-POPULATION ARM, and it is the DESTINATION half of the source side's ruling: 100% of the losing encodings have rd == 0. The wire's reading of rd == x0 is the pair (x0, x1), which would make `amocas.q x0,...` WRITE the return-address register; QEMU reads x0 as the value zero on both operands and in both directions and writes nothing. REG_ZERO is the rd == 0 discarded write (9fa9914421's shape) and REG_LR is the reference defect the source side records.
rv-zimop-dst	riscv64	^decode_insn(16|32)/c?_?mop_(r|rr|n)	^c?mop	.	RULED	target/riscv/insn_trans/trans_rvzimop.c.inc -- Zimop writes 0 to x[rd] and defines no shadow-stack effect	WHOLE-POPULATION ARM: every losing register on these families is REG_SSP and the families carry no other. REG_SSP is Zicfiss's reading of the same encoding bytes, not Zimop's -- a mnemonic-space collision between two extensions over one encoding, which the source side records for the same rows. The register belongs to the OTHER reading and QEMU is not implementing that one.
rv-illegal-dst	riscv64	^decode_insn16/illegal@	.	.	RULED	target/riscv/translate.c -- an encoding that decodes ILLEGAL raises and reaches no gen_set_gpr()	WHOLE-POPULATION ARM: every losing register on this family arrives on an encoding whose decode result is ILLEGAL, and a raise writes no GPR. The registers the wire names are the ones the ENCODING's bit fields would have selected had the encoding been legal, which is the reference reading an instruction that does not exist.
mips-trap-dst	mipsel	^translate_mips/OPC_T(LT|LTU|NE|LTI|LTIU|NEI)$	^t(lt|ltu|ne|lti|ltiu|nei)$	.	RULED	target/mips/tcg/translate.c gen_trap() -- the cond==0 arm for OPC_TLT/TLTI/TLTU/TLTIU/TNE/TNEI is `/* Never trap: treat as NOP. */ break;`, which emits NOTHING; MIPS64 Vol II defines these six as CONDITIONAL traps and the condition is rs<rs, rs!=rs or 0<0, which is false by inspection, so no exception is architecturally defined on this arm either	RE-ADJUDICATED, AND THE PREVIOUS DISPOSITION NAMED A REMEDY THAT WOULD HAVE BEEN A FABRICATION.  QEMU-STATES-IT asks for a statement at the citation's site: here that would make QEMU say `tlt $t0,$t0` writes exception state, and it does not -- the arm is a NOP in the emulator BECAUSE the trap is a NOP in the architecture.  The old note's own words were the clue and were read the wrong way round: `exception state as a DESTINATION is what a RAISE does write` is true, and this arm does not raise.  WHOLE-POPULATION ARM, and it is a PROOF rather than a census: the never-trap arm is reachable ONLY at cond==0, and cond==0 holds for the register forms exactly when rs==rt and for the immediate forms exactly when rs==0 && imm==0 (translate.c, the two `if (rs != rt)` / `if (rs != 0 || imm != 0)` guards that set cond=1).  So the losing set is not a sample of the mnemonic -- it IS the fold condition, closed-form.  The immediate forms admit exactly ONE such encoding each and the bar reads exactly 1, 1, 1 on tlti/tltiu/tnei, which is that closed form agreeing with the measurement.  EXHAUSTIVE OVER THE BAR at verify67/barscore_out3: the six rules carry SIX rows, REG_SYSEXC and no other register, 36+36+36+1+1+1 = 111 encodings -- the whole of this class.  The always-trap siblings (TEQ/TGE/TGEU and their immediate forms) fall to generate_exception_end() in the same switch and are not in the bar, and the DYNAMIC arm (rs != rt) traps under a brcond and is not in the bar either: the split is by OPERANDS, not by mnemonic, which is why no (rule, mnemonic, register) pattern separates them and the reason is stated here instead.  NO WIRE SUBJECT AND NO WIRE CHANGE: the mech column reads UNPUBLISHED on all 111, so the family did not reach the wire in the tip corpus at all; the operand walk names REG_SYSEXC here and QEMU does not, and the deletion dropping it is a FABRICATION REMOVED, not information lost.  R12.1 is satisfied without discount: nothing real is lost, so nothing is being written off as a pessimistic direction.
