# ChampSim Tracer implicit-operand assertion table — mipsel
# Expectations derived from QEMU's MIPS TCG translator; see docs/validator.rst (features.implicit_operands) for provenance and method.
# Generated by tools/implicit_audit.py --mode regenerate; the source / disposition / justification columns are written by hand and carried forward.
# probes 120  rows 192  MISS-BOTH 46  MISS-BOUNDARY 1  NOT-MODELLED 4  OK 138  PROBE-BAD 3
family	hex	asm	kind	operand	source	expect	weight	disposition	justification
cop0	3be8067c	rdhwr $6,$29	READ	cop0_4	QEMU	MISS-BOTH	9696981	fix	rdhwr $29 is the user-mode window onto CP0 UserLocal, the MIPS thread pointer; the boundary names a CP0 register when the encoding does (mfc0 $6,$12 scores OK) and drops this one, so every TLS access reads a register nothing appears to have produced
fp-cc	3c002246	c.lt.d $f0,$f2	READ	fcsr	QEMU	MISS-BOTH	4504526	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fp-cc	3c002246	c.lt.d $f0,$f2	WRITE	fcsr	QEMU	MISS-BOTH	4504526	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fcsr	03102446	div.d $f0,$f2,$f4	READ	fcsr	QEMU	MISS-BOTH	687	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fcsr	03102446	div.d $f0,$f2,$f4	WRITE	fcsr	QEMU	MISS-BOTH	687	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fcsr	00100446	add.s $f0,$f2,$f4	READ	fcsr	QEMU	MISS-BOTH	8	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fcsr	00100446	add.s $f0,$f2,$f4	WRITE	fcsr	QEMU	MISS-BOTH	8	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
cop0	00606641	di $6	READ	cop0_12	QEMU	MISS-BOTH	0	fix	di and ei return the OLD Status word into rt, so they are read-modify-writes of CP0 Status rather than writes, and the boundary reports neither side although mfc0 proves it can name the register
cop0	00606641	di $6	WRITE	cop0_12	QEMU	MISS-BOTH	0	fix	di and ei return the OLD Status word into rt, so they are read-modify-writes of CP0 Status rather than writes, and the boundary reports neither side although mfc0 proves it can name the register
cop0	1f000042	deret	READ	cop0_24	QEMU	MISS-BOTH	0	modelling-decision	CP0 privileged state, which the tracer records by coprocessor register number where the encoding names one and does not model as a dataflow register otherwise
cop0	20606641	ei $6	READ	cop0_12	QEMU	MISS-BOTH	0	fix	di and ei return the OLD Status word into rt, so they are read-modify-writes of CP0 Status rather than writes, and the boundary reports neither side although mfc0 proves it can name the register
cop0	20606641	ei $6	WRITE	cop0_12	QEMU	MISS-BOTH	0	fix	di and ei return the OLD Status word into rt, so they are read-modify-writes of CP0 Status rather than writes, and the boundary reports neither side although mfc0 proves it can name the register
dsp-acc	3008857c	dpa.w.ph $ac1,$4,$5	WRITE	dspctrl	BINUTILS+QEMU	MISS-BOTH	0	fix	the boundary reports the DSPControl register on some DSP forms (mulsaq_s.w.ph, mthlip) and not on others, so its absence here is an inconsistency in Capstone's table rather than a modelling choice
dsp-acc	7008857c	dps.w.ph $ac1,$4,$5	WRITE	dspctrl	BINUTILS+QEMU	MISS-BOTH	0	fix	the boundary reports the DSPControl register on some DSP forms (mulsaq_s.w.ph, mthlip) and not on others, so its absence here is an inconsistency in Capstone's table rather than a modelling choice
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc0	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc1	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc2	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc3	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc4	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc5	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc6	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	00f8c644	ctc1 $6,$31	WRITE	fcc7	QEMU	MISS-BOTH	0	fix	a write to the FP control/status register redefines all eight condition codes it contains, and the boundary reports only the control register, so a following bc1t reads an FCC nothing appears to have written
fcsr	04100046	sqrt.s $f0,$f2	READ	fcsr	QEMU	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
fcsr	04100046	sqrt.s $f0,$f2	WRITE	fcsr	QEMU	MISS-BOTH	0	modelling-decision	cumulative FP exception status: the tracer's register model carries dataflow registers, and threading a read-modify-write of one status register through every FP instruction would put the whole FP stream on a serial chain no implementation renames
